ngrama,frecuencia,frecuencia_relativa
inteligencia artificial,24,0.02867
sistemas inteligencia,5,0.00597
manera responsable,3,0.00358
protección datos,3,0.00358
artificial está,2,0.00239
regulación inteligencia,2,0.00239
reglas claras,2,0.00239
datos seguridad,2,0.00239
seguridad responsabilidad,2,0.00239
educación investigación,2,0.00239
mecanismos supervisión,2,0.00239
diferentes niveles,2,0.00239
sistema utilizado,2,0.00239
supervisión humana,2,0.00239
regulación demasiado,2,0.00239
análisis datos,2,0.00239
nuevas herramientas,2,0.00239
resolver problemas,2,0.00239
grandes cantidades,2,0.00239
cantidades información,2,0.00239
crear nuevos,2,0.00239
desarrollo nuevas,2,0.00239
mismo tiempo,2,0.00239
algunas tareas,2,0.00239
tareas automatizarse,2,0.00239
empleo depende,2,0.00239
participación personas,2,0.00239
datos utilizados,2,0.00239
está transformando,1,0.00119
transformando manera,1,0.00119
manera personas,1,0.00119
personas trabajan,1,0.00119
trabajan estudian,1,0.00119
estudian producen,1,0.00119
producen información,1,0.00119
información utilizan,1,0.00119
utilizan servicios,1,0.00119
servicios públicos,1,0.00119
públicos transformación,1,0.00119
transformación regulación,1,0.00119
artificial convertido,1,0.00119
convertido asunto,1,0.00119
asunto central,1,0.00119
central gobiernos,1,0.00119
gobiernos instituciones,1,0.00119
instituciones política,1,0.00119
política responsable,1,0.00119
responsable buscar,1,0.00119
buscar equilibrio,1,0.00119
equilibrio innovación,1,0.00119
