ngrama,frecuencia,frecuencia_relativa
inteligencia artificial,24,0.02867
sistemas inteligencia,5,0.00597
manera responsable,3,0.00358
protección datos,3,0.00358
artificial está,2,0.00239
regulación inteligencia,2,0.00239
reglas claras,2,0.00239
datos seguridad,2,0.00239
seguridad responsabilidad,2,0.00239
educación investigación,2,0.00239
mecanismos supervisión,2,0.00239
diferentes niveles,2,0.00239
sistema utilizado,2,0.00239
supervisión humana,2,0.00239
regulación demasiado,2,0.00239
análisis datos,2,0.00239
nuevas herramientas,2,0.00239
resolver problemas,2,0.00239
grandes cantidades,2,0.00239
cantidades información,2,0.00239
crear nuevos,2,0.00239
desarrollo nuevas,2,0.00239
mismo tiempo,2,0.00239
algunas tareas,2,0.00239
tareas automatizarse,2,0.00239
empleo depende,2,0.00239
participación personas,2,0.00239
datos utilizados,2,0.00239
está transformando,1,0.00119
transformando manera,1,0.00119
manera personas,1,0.00119
personas trabajan,1,0.00119
trabajan estudian,1,0.00119
estudian producen,1,0.00119
producen información,1,0.00119
información utilizan,1,0.00119
utilizan servicios,1,0.00119
servicios públicos,1,0.00119
públicos transformación,1,0.00119
transformación regulación,1,0.00119
artificial convertido,1,0.00119
convertido asunto,1,0.00119
asunto central,1,0.00119
central gobiernos,1,0.00119
gobiernos instituciones,1,0.00119
instituciones política,1,0.00119
política responsable,1,0.00119
responsable buscar,1,0.00119
buscar equilibrio,1,0.00119
equilibrio innovación,1,0.00119
innovación seguridad,1,0.00119
seguridad protección,1,0.00119
protección derechos,1,0.00119
derechos personas,1,0.00119
personas regulación,1,0.00119
regulación significa,1,0.00119
significa detener,1,0.00119
detener desarrollo,1,0.00119
desarrollo tecnológico,1,0.00119
tecnológico significa,1,0.00119
significa establecer,1,0.00119
establecer reglas,1,0.00119
claras sistemas,1,0.00119
artificial puedan,1,0.00119
puedan desarrollarse,1,0.00119
desarrollarse utilizarse,1,0.00119
utilizarse manera,1,0.00119
responsable normas,1,0.00119
normas considerar,1,0.00119
considerar transparencia,1,0.00119
transparencia privacidad,1,0.00119
privacidad protección,1,0.00119
responsabilidad diseñan,1,0.00119
diseñan implementan,1,0.00119
implementan utilizan,1,0.00119
utilizan sistemas,1,0.00119
sistemas sistemas,1,0.00119
artificial ofrecer,1,0.00119
ofrecer oportunidades,1,0.00119
oportunidades importantes,1,0.00119
importantes educación,1,0.00119
investigación salud,1,0.00119
salud administración,1,0.00119
administración pública,1,0.00119
pública empresas,1,0.00119
empresas embargo,1,0.00119
embargo producir,1,0.00119
producir errores,1,0.00119
errores discriminación,1,0.00119
discriminación decisiones,1,0.00119
decisiones difíciles,1,0.00119
difíciles explicar,1,0.00119
explicar razón,1,0.00119
razón gobernanza,1,0.00119
gobernanza inteligencia,1,0.00119
artificial necesita,1,0.00119
necesita mecanismos,1,0.00119
supervisión evaluación,1,0.00119
evaluación regulación,1,0.00119
regulación adecuada,1,0.00119
adecuada distinguir,1,0.00119
distinguir diferentes,1,0.00119
niveles riesgo,1,0.00119
riesgo sistema,1,0.00119
utilizado tarea,1,0.00119
tarea sencilla,1,0.00119
sencilla presenta,1,0.00119
presenta necesariamente,1,0.00119
necesariamente mismos,1,0.00119
mismos riesgos,1,0.00119
riesgos sistema,1,0.00119
utilizado tomar,1,0.00119
tomar decisiones,1,0.00119
decisiones importantes,1,0.00119
importantes personas,1,0.00119
personas instituciones,1,0.00119
instituciones establecer,1,0.00119
establecer requisitos,1,0.00119
requisitos evaluación,1,0.00119
evaluación documentación,1,0.00119
documentación supervisión,1,0.00119
humana protección,1,0.00119
