ngrama,frecuencia,frecuencia_relativa
sistemas inteligencia artificial,5,0.00598
inteligencia artificial está,2,0.00239
regulación inteligencia artificial,2,0.00239
grandes cantidades información,2,0.00239
algunas tareas automatizarse,2,0.00239
artificial está transformando,1,0.0012
está transformando manera,1,0.0012
transformando manera personas,1,0.0012
manera personas trabajan,1,0.0012
personas trabajan estudian,1,0.0012
trabajan estudian producen,1,0.0012
estudian producen información,1,0.0012
producen información utilizan,1,0.0012
información utilizan servicios,1,0.0012
utilizan servicios públicos,1,0.0012
servicios públicos transformación,1,0.0012
públicos transformación regulación,1,0.0012
transformación regulación inteligencia,1,0.0012
inteligencia artificial convertido,1,0.0012
artificial convertido asunto,1,0.0012
convertido asunto central,1,0.0012
asunto central gobiernos,1,0.0012
central gobiernos instituciones,1,0.0012
gobiernos instituciones política,1,0.0012
instituciones política responsable,1,0.0012
política responsable buscar,1,0.0012
responsable buscar equilibrio,1,0.0012
buscar equilibrio innovación,1,0.0012
equilibrio innovación seguridad,1,0.0012
innovación seguridad protección,1,0.0012
seguridad protección derechos,1,0.0012
protección derechos personas,1,0.0012
derechos personas regulación,1,0.0012
personas regulación significa,1,0.0012
regulación significa detener,1,0.0012
significa detener desarrollo,1,0.0012
detener desarrollo tecnológico,1,0.0012
desarrollo tecnológico significa,1,0.0012
tecnológico significa establecer,1,0.0012
significa establecer reglas,1,0.0012
establecer reglas claras,1,0.0012
reglas claras sistemas,1,0.0012
claras sistemas inteligencia,1,0.0012
inteligencia artificial puedan,1,0.0012
artificial puedan desarrollarse,1,0.0012
puedan desarrollarse utilizarse,1,0.0012
desarrollarse utilizarse manera,1,0.0012
utilizarse manera responsable,1,0.0012
manera responsable normas,1,0.0012
responsable normas considerar,1,0.0012
