ngrama,frecuencia,frecuencia_relativa
inteligencia,24,0.02864
artificial,24,0.02864
sistemas,12,0.01432
personas,11,0.01313
seguridad,10,0.01193
datos,10,0.01193
investigación,10,0.01193
innovación,9,0.01074
empresas,8,0.00955
supervisión,8,0.00955
manera,7,0.00835
información,7,0.00835
regulación,7,0.00835
evaluación,7,0.00835
sistema,7,0.00835
organizaciones,7,0.00835
nuevas,7,0.00835
responsable,6,0.00716
riesgos,6,0.00716
tareas,6,0.00716
resultados,6,0.00716
responsabilidad,5,0.00597
oportunidades,5,0.00597
importantes,5,0.00597
riesgo,5,0.00597
beneficios,5,0.00597
herramientas,5,0.00597
depende,5,0.00597
tecnologías,5,0.00597
capacitación,5,0.00597
trabajadores,5,0.00597
gobiernos,4,0.00477
instituciones,4,0.00477
protección,4,0.00477
establecer,4,0.00477
considerar,4,0.00477
educación,4,0.00477
decisiones,4,0.00477
mecanismos,4,0.00477
importante,4,0.00477
sean,4,0.00477
generar,4,0.00477
tecnología,4,0.00477
cooperación,4,0.00477
ayudar,4,0.00477
desarrollar,4,0.00477
contribuir,4,0.00477
problemas,4,0.00477
mejorar,4,0.00477
crear,4,0.00477
