ngrama,frecuencia,frecuencia_relativa
inteligencia,24,0.02864
artificial,24,0.02864
sistemas,12,0.01432
personas,11,0.01313
seguridad,10,0.01193
datos,10,0.01193
investigación,10,0.01193
innovación,9,0.01074
empresas,8,0.00955
supervisión,8,0.00955
manera,7,0.00835
información,7,0.00835
regulación,7,0.00835
evaluación,7,0.00835
sistema,7,0.00835
organizaciones,7,0.00835
nuevas,7,0.00835
responsable,6,0.00716
riesgos,6,0.00716
tareas,6,0.00716
resultados,6,0.00716
responsabilidad,5,0.00597
oportunidades,5,0.00597
importantes,5,0.00597
riesgo,5,0.00597
beneficios,5,0.00597
herramientas,5,0.00597
depende,5,0.00597
tecnologías,5,0.00597
capacitación,5,0.00597
trabajadores,5,0.00597
gobiernos,4,0.00477
instituciones,4,0.00477
protección,4,0.00477
establecer,4,0.00477
considerar,4,0.00477
educación,4,0.00477
decisiones,4,0.00477
mecanismos,4,0.00477
importante,4,0.00477
sean,4,0.00477
generar,4,0.00477
tecnología,4,0.00477
cooperación,4,0.00477
ayudar,4,0.00477
desarrollar,4,0.00477
contribuir,4,0.00477
problemas,4,0.00477
mejorar,4,0.00477
crear,4,0.00477
nuevos,4,0.00477
tiempo,4,0.00477
necesario,4,0.00477
reducir,4,0.00477
trabajo,4,0.00477
desarrollo,3,0.00358
reglas,3,0.00358
claras,3,0.00358
normas,3,0.00358
gobernanza,3,0.00358
necesita,3,0.00358
adecuada,3,0.00358
diferentes,3,0.00358
humana,3,0.00358
demasiado,3,0.00358
confianza,3,0.00358
países,3,0.00358
análisis,3,0.00358
apoyar,3,0.00358
utilizar,3,0.00358
requieren,3,0.00358
digital,3,0.00358
solamente,3,0.00358
tecnológica,3,0.00358
analizar,3,0.00358
empleo,3,0.00358
competencias,3,0.00358
formación,3,0.00358
participación,3,0.00358
utilizados,3,0.00358
está,2,0.00239
utilizan,2,0.00239
servicios,2,0.00239
públicos,2,0.00239
transformación,2,0.00239
derechos,2,0.00239
significa,2,0.00239
tecnológico,2,0.00239
implementan,2,0.00239
salud,2,0.00239
embargo,2,0.00239
producir,2,0.00239
errores,2,0.00239
discriminación,2,0.00239
niveles,2,0.00239
utilizado,2,0.00239
presenta,2,0.00239
documentación,2,0.00239
investigadores,2,0.00239
incertidumbre,2,0.00239
mientras,2,0.00239
determinados,2,0.00239
objetivo,2,0.00239
universidades,2,0.00239
sociales,2,0.00239
estándares,2,0.00239
comunes,2,0.00239
internacional,2,0.00239
ello,2,0.00239
diálogo,2,0.00239
accesibles,2,0.00239
representa,2,0.00239
productividad,2,0.00239
resolver,2,0.00239
capacidad,2,0.00239
aprender,2,0.00239
mediante,2,0.00239
grandes,2,0.00239
cantidades,2,0.00239
procesos,2,0.00239
automatización,2,0.00239
actividades,2,0.00239
creatividad,2,0.00239
comunicación,2,0.00239
inversión,2,0.00239
necesitan,2,0.00239
formar,2,0.00239
evaluar,2,0.00239
relacionados,2,0.00239
necesidades,2,0.00239
compartir,2,0.00239
experiencias,2,0.00239
cómo,2,0.00239
quién,2,0.00239
qué,2,0.00239
objetivos,2,0.00239
mismo,2,0.00239
algunas,2,0.00239
automatizarse,2,0.00239
eso,2,0.00239
limitaciones,2,0.00239
adaptación,2,0.00239
herramienta,2,0.00239
trabajador,2,0.00239
políticas,2,0.00239
ciberseguridad,2,0.00239
acceso,2,0.00239
sesgos,2,0.00239
diseño,2,0.00239
otro,2,0.00239
medidas,2,0.00239
detectar,2,0.00239
transformando,1,0.00119
trabajan,1,0.00119
estudian,1,0.00119
producen,1,0.00119
convertido,1,0.00119
asunto,1,0.00119
central,1,0.00119
política,1,0.00119
buscar,1,0.00119
equilibrio,1,0.00119
detener,1,0.00119
puedan,1,0.00119
desarrollarse,1,0.00119
utilizarse,1,0.00119
transparencia,1,0.00119
privacidad,1,0.00119
diseñan,1,0.00119
ofrecer,1,0.00119
administración,1,0.00119
pública,1,0.00119
difíciles,1,0.00119
explicar,1,0.00119
razón,1,0.00119
distinguir,1,0.00119
tarea,1,0.00119
sencilla,1,0.00119
necesariamente,1,0.00119
mismos,1,0.00119
tomar,1,0.00119
requisitos,1,0.00119
acuerdo,1,0.00119
comprensibles,1,0.00119
ciudadanía,1,0.00119
ambigua,1,0.00119
rígida,1,0.00119
dificultar,1,0.00119
proyectos,1,0.00119
construir,1,0.00119
permitir,1,0.00119
utilice,1,0.00119
tiene,1,0.00119
dimensión,1,0.00119
cruzar,1,0.00119
fronteras,1,0.00119
facilidad,1,0.00119
conclusión,1,0.00119
proteger,1,0.00119
impedir,1,0.00119
proporcionales,1,0.00119
acompañadas,1,0.00119
sociedad,1,0.00119
oportunidad,1,0.00119
impulsar,1,0.00119
avances,1,0.00119
recientes,1,0.00119
aprendizaje,1,0.00119
automático,1,0.00119
procesamiento,1,0.00119
lenguaje,1,0.00119
natural,1,0.00119
permiten,1,0.00119
científicos,1,0.00119
económicos,1,0.00119
estudiantes,1,0.00119
experimentar,1,0.00119
científica,1,0.00119
identificación,1,0.00119
patrones,1,0.00119
generación,1,0.00119
hipótesis,1,0.00119
aplicaciones,1,0.00119
sustituyen,1,0.00119
necesidad,1,0.00119
conocimiento,1,0.00119
humano,1,0.00119
ampliar,1,0.00119
capacidades,1,0.00119
equipos,1,0.00119
optimizar,1,0.00119
recursos,1,0.00119
repetitivas,1,0.00119
liberar,1,0.00119
toma,1,0.00119
adopción,1,0.00119
acompañarse,1,0.00119
infraestructura,1,0.00119
concentren,1,0.00119
pocas,1,0.00119
profesionales,1,0.00119
capaces,1,0.00119
comprender,1,0.00119
utilizarlos,1,0.00119
energía,1,0.00119
transporte,1,0.00119
agricultura,1,0.00119
modelos,1,0.00119
compleja,1,0.00119
identificar,1,0.00119
alternativas,1,0.00119
aplicación,1,0.00119
calidad,1,0.00119
abierta,1,0.00119
acelerar,1,0.00119
soluciones,1,0.00119
laboratorios,1,0.00119
organismos,1,0.00119
conocimientos,1,0.00119
colaboración,1,0.00119
permite,1,0.00119
duplicaciones,1,0.00119
facilita,1,0.00119
combina,1,0.00119
avance,1,0.00119
social,1,0.00119
basta,1,0.00119
funcione,1,0.00119
técnicamente,1,0.00119
utiliza,1,0.00119
beneficiarse,1,0.00119
aparecer,1,0.00119
orientarse,1,0.00119
produzcan,1,0.00119
valor,1,0.00119
contexto,1,0.00119
tienen,1,0.00119
opuestos,1,0.00119
condiciones,1,0.00119
estrategia,1,0.00119
equilibrada,1,0.00119
fomentar,1,0.00119
modificando,1,0.00119
mundo,1,0.00119
otras,1,0.00119
complementarse,1,0.00119
digitales,1,0.00119
impacto,1,0.00119
actividad,1,0.00119
económica,1,0.00119
realizadas,1,0.00119
aumentar,1,0.00119
determinadas,1,0.00119
cambiar,1,0.00119
funciones,1,0.00119
algunos,1,0.00119
efecto,1,0.00119
requiere,1,0.00119
observar,1,0.00119
nombres,1,0.00119
puestos,1,0.00119
interpretar,1,0.00119
reconocer,1,0.00119
continua,1,0.00119
facilitar,1,0.00119
cambian,1,0.00119
producción,1,0.00119
incorporan,1,0.00119
organización,1,0.00119
sustituirlo,1,0.00119
completamente,1,0.00119
otros,1,0.00119
casos,1,0.00119
concentrarse,1,0.00119
resolución,1,0.00119
transición,1,0.00119
orientación,1,0.00119
laboral,1,0.00119
educativas,1,0.00119
gestionar,1,0.00119
cambios,1,0.00119
empleos,1,0.00119
programación,1,0.00119
mantenimiento,1,0.00119
gestión,1,0.00119
trabajos,1,0.00119
específicas,1,0.00119
reciban,1,0.00119
evitar,1,0.00119
distribuyan,1,0.00119
desigual,1,0.00119
inclusiva,1,0.00119
experiencia,1,0.00119
promover,1,0.00119
programas,1,0.00119
pertinentes,1,0.00119
futuro,1,0.00119
únicamente,1,0.00119
públicas,1,0.00119
implementa,1,0.00119
claros,1,0.00119
afectadas,1,0.00119
ofrece,1,0.00119
evaluados,1,0.00119
incorrectos,1,0.00119
reproducir,1,0.00119
presentes,1,0.00119
irresponsable,1,0.00119
parte,1,0.00119
uso,1,0.00119
uno,1,0.00119
consiste,1,0.00119
confiar,1,0.00119
respuesta,1,0.00119
generada,1,0.00119
automáticamente,1,0.00119
cometer,1,0.00119
presentar,1,0.00119
incorrecta,1,0.00119
apariencia,1,0.00119
convincente,1,0.00119
mantener,1,0.00119
verificar,1,0.00119
consecuencias,1,0.00119
decisión,1,0.00119
aspecto,1,0.00119
fundamental,1,0.00119
procesar,1,0.00119
dependiendo,1,0.00119
involucrar,1,0.00119
personales,1,0.00119
limitar,1,0.00119
relevante,1,0.00119
amenazas,1,0.00119
convertirse,1,0.00119
vulnerabilidades,1,0.00119
actualización,1,0.00119
algorítmica,1,0.00119
desafío,1,0.00119
si,1,0.00119
entrenar,1,0.00119
contienen,1,0.00119
reproducirlos,1,0.00119
probar,1,0.00119
injustos,1,0.00119
inesperados,1,0.00119
entenderse,1,0.00119
característica,1,0.00119
técnica,1,0.00119
incluye,1,0.00119
procedimientos,1,0.00119
responsabilidades,1,0.00119
definir,1,0.00119
supervisa,1,0.00119
registran,1,0.00119
incidentes,1,0.00119
acciones,1,0.00119
toman,1,0.00119
aparece,1,0.00119
problema,1,0.00119
alto,1,0.00119
controles,1,0.00119
cuidadosos,1,0.00119
pruebas,1,0.00119
independiente,1,0.00119
daños,1,0.00119
sepan,1,0.00119
cuándo,1,0.00119
interactúan,1,0.00119
automatizado,1,0.00119
conozcan,1,0.00119
principios,1,0.00119
tecnológicos,1,0.00119
afectar,1,0.00119
buenas,1,0.00119
