ngrama,frecuencia,frecuencia_relativa
cambio climático,4,0.02614
calentamiento global,3,0.01961
gases efecto,2,0.01307
efecto invernadero,2,0.01307
combustibles fósiles,2,0.01307
reducir emisiones,2,0.01307
reducción emisiones,2,0.01307
climático uno,1,0.00654
uno principales,1,0.00654
principales desafíos,1,0.00654
desafíos ambientales,1,0.00654
ambientales tiempo,1,0.00654
tiempo calentamiento,1,0.00654
global está,1,0.00654
está relacionado,1,0.00654
relacionado aumento,1,0.00654
aumento emisiones,1,0.00654
emisiones gases,1,0.00654
invernadero actividades,1,0.00654
actividades humanas,1,0.00654
humanas utilizan,1,0.00654
utilizan combustibles,1,0.00654
fósiles países,1,0.00654
países reconocer,1,0.00654
reconocer importancia,1,0.00654
importancia reducir,1,0.00654
emisiones proteger,1,0.00654
proteger medio,1,0.00654
medio ambiente,1,0.00654
ambiente futuras,1,0.00654
futuras generaciones,1,0.00654
generaciones cambio,1,0.00654
climático producir,1,0.00654
producir impactos,1,0.00654
impactos importantes,1,0.00654
importantes ecosistemas,1,0.00654
ecosistemas agricultura,1,0.00654
agricultura recursos,1,0.00654
recursos hídricos,1,0.00654
hídricos comunidades,1,0.00654
comunidades aumento,1,0.00654
aumento temperatura,1,0.00654
temperatura global,1,0.00654
global intensificar,1,0.00654
intensificar riesgos,1,0.00654
riesgos ambientales,1,0.00654
ambientales razón,1,0.00654
razón necesario,1,0.00654
necesario fortalecer,1,0.00654
fortalecer cooperación,1,0.00654
