ngrama,frecuencia,frecuencia_relativa
cambio climático,4,0.02614
calentamiento global,3,0.01961
gases efecto,2,0.01307
efecto invernadero,2,0.01307
combustibles fósiles,2,0.01307
reducir emisiones,2,0.01307
reducción emisiones,2,0.01307
climático uno,1,0.00654
uno principales,1,0.00654
principales desafíos,1,0.00654
desafíos ambientales,1,0.00654
ambientales tiempo,1,0.00654
tiempo calentamiento,1,0.00654
global está,1,0.00654
está relacionado,1,0.00654
relacionado aumento,1,0.00654
aumento emisiones,1,0.00654
emisiones gases,1,0.00654
invernadero actividades,1,0.00654
actividades humanas,1,0.00654
humanas utilizan,1,0.00654
utilizan combustibles,1,0.00654
fósiles países,1,0.00654
países reconocer,1,0.00654
reconocer importancia,1,0.00654
importancia reducir,1,0.00654
emisiones proteger,1,0.00654
proteger medio,1,0.00654
medio ambiente,1,0.00654
ambiente futuras,1,0.00654
futuras generaciones,1,0.00654
generaciones cambio,1,0.00654
climático producir,1,0.00654
producir impactos,1,0.00654
impactos importantes,1,0.00654
importantes ecosistemas,1,0.00654
ecosistemas agricultura,1,0.00654
agricultura recursos,1,0.00654
recursos hídricos,1,0.00654
hídricos comunidades,1,0.00654
comunidades aumento,1,0.00654
aumento temperatura,1,0.00654
temperatura global,1,0.00654
global intensificar,1,0.00654
intensificar riesgos,1,0.00654
riesgos ambientales,1,0.00654
ambientales razón,1,0.00654
razón necesario,1,0.00654
necesario fortalecer,1,0.00654
fortalecer cooperación,1,0.00654
cooperación internacional,1,0.00654
internacional desarrollar,1,0.00654
desarrollar políticas,1,0.00654
políticas permitan,1,0.00654
permitan enfrentar,1,0.00654
enfrentar problema,1,0.00654
problema emisiones,1,0.00654
emisiones carbono,1,0.00654
carbono gases,1,0.00654
invernadero constituyen,1,0.00654
constituyen preocupación,1,0.00654
preocupación central,1,0.00654
central reducción,1,0.00654
emisiones requiere,1,0.00654
requiere cambios,1,0.00654
cambios sistemas,1,0.00654
sistemas energía,1,0.00654
energía transporte,1,0.00654
transporte industria,1,0.00654
industria energías,1,0.00654
energías renovables,1,0.00654
renovables contribuir,1,0.00654
contribuir disminuir,1,0.00654
disminuir dependencia,1,0.00654
dependencia combustibles,1,0.00654
fósiles apoyar,1,0.00654
apoyar transición,1,0.00654
transición energética,1,0.00654
energética gradual,1,0.00654
gradual adaptación,1,0.00654
adaptación necesaria,1,0.00654
necesaria efectos,1,0.00654
efectos cambio,1,0.00654
climático afectan,1,0.00654
afectan diferentes,1,0.00654
diferentes regiones,1,0.00654
regiones países,1,0.00654
países fortalecer,1,0.00654
fortalecer capacidades,1,0.00654
capacidades responder,1,0.00654
responder sequías,1,0.00654
sequías inundaciones,1,0.00654
inundaciones impactos,1,0.00654
impactos mitigación,1,0.00654
mitigación adaptación,1,0.00654
adaptación formar,1,0.00654
formar parte,1,0.00654
parte respuesta,1,0.00654
respuesta coordinada,1,0.00654
coordinada comunidad,1,0.00654
comunidad internacional,1,0.00654
internacional necesita,1,0.00654
necesita trabajar,1,0.00654
trabajar limitar,1,0.00654
limitar calentamiento,1,0.00654
global negociaciones,1,0.00654
negociaciones climáticas,1,0.00654
climáticas buscan,1,0.00654
buscan acuerdos,1,0.00654
acuerdos permitan,1,0.00654
permitan reducir,1,0.00654
emisiones promover,1,0.00654
promover desarrollo,1,0.00654
desarrollo sostenible,1,0.00654
sostenible cooperación,1,0.00654
cooperación países,1,0.00654
países fundamental,1,0.00654
fundamental cambio,1,0.00654
climático limita,1,0.00654
limita fronteras,1,0.00654
fronteras nacionales,1,0.00654
nacionales futuro,1,0.00654
futuro depende,1,0.00654
depende decisiones,1,0.00654
decisiones adopten,1,0.00654
adopten presente,1,0.00654
presente políticas,1,0.00654
políticas ambientales,1,0.00654
ambientales contribuir,1,0.00654
contribuir proteger,1,0.00654
proteger recursos,1,0.00654
recursos naturales,1,0.00654
naturales reducir,1,0.00654
reducir impactos,1,0.00654
impactos calentamiento,1,0.00654
global acción,1,0.00654
acción internacional,1,0.00654
internacional combinar,1,0.00654
combinar reducción,1,0.00654
emisiones adaptación,1,0.00654
adaptación apoyo,1,0.00654
apoyo países,1,0.00654
países vulnerables,1,0.00654
