ngrama,frecuencia,frecuencia_relativa
gases efecto invernadero,2,0.01316
cambio climático uno,1,0.00658
climático uno principales,1,0.00658
uno principales desafíos,1,0.00658
principales desafíos ambientales,1,0.00658
desafíos ambientales tiempo,1,0.00658
ambientales tiempo calentamiento,1,0.00658
tiempo calentamiento global,1,0.00658
calentamiento global está,1,0.00658
global está relacionado,1,0.00658
está relacionado aumento,1,0.00658
relacionado aumento emisiones,1,0.00658
aumento emisiones gases,1,0.00658
emisiones gases efecto,1,0.00658
efecto invernadero actividades,1,0.00658
invernadero actividades humanas,1,0.00658
actividades humanas utilizan,1,0.00658
humanas utilizan combustibles,1,0.00658
utilizan combustibles fósiles,1,0.00658
combustibles fósiles países,1,0.00658
fósiles países reconocer,1,0.00658
países reconocer importancia,1,0.00658
reconocer importancia reducir,1,0.00658
importancia reducir emisiones,1,0.00658
reducir emisiones proteger,1,0.00658
emisiones proteger medio,1,0.00658
proteger medio ambiente,1,0.00658
medio ambiente futuras,1,0.00658
ambiente futuras generaciones,1,0.00658
futuras generaciones cambio,1,0.00658
generaciones cambio climático,1,0.00658
cambio climático producir,1,0.00658
climático producir impactos,1,0.00658
producir impactos importantes,1,0.00658
impactos importantes ecosistemas,1,0.00658
importantes ecosistemas agricultura,1,0.00658
ecosistemas agricultura recursos,1,0.00658
agricultura recursos hídricos,1,0.00658
recursos hídricos comunidades,1,0.00658
hídricos comunidades aumento,1,0.00658
comunidades aumento temperatura,1,0.00658
aumento temperatura global,1,0.00658
temperatura global intensificar,1,0.00658
global intensificar riesgos,1,0.00658
intensificar riesgos ambientales,1,0.00658
riesgos ambientales razón,1,0.00658
ambientales razón necesario,1,0.00658
razón necesario fortalecer,1,0.00658
necesario fortalecer cooperación,1,0.00658
fortalecer cooperación internacional,1,0.00658
