ngrama,frecuencia,frecuencia_relativa
gases efecto invernadero,2,0.01316
cambio climático uno,1,0.00658
climático uno principales,1,0.00658
uno principales desafíos,1,0.00658
principales desafíos ambientales,1,0.00658
desafíos ambientales tiempo,1,0.00658
ambientales tiempo calentamiento,1,0.00658
tiempo calentamiento global,1,0.00658
calentamiento global está,1,0.00658
global está relacionado,1,0.00658
está relacionado aumento,1,0.00658
relacionado aumento emisiones,1,0.00658
aumento emisiones gases,1,0.00658
emisiones gases efecto,1,0.00658
efecto invernadero actividades,1,0.00658
invernadero actividades humanas,1,0.00658
actividades humanas utilizan,1,0.00658
humanas utilizan combustibles,1,0.00658
utilizan combustibles fósiles,1,0.00658
combustibles fósiles países,1,0.00658
fósiles países reconocer,1,0.00658
países reconocer importancia,1,0.00658
reconocer importancia reducir,1,0.00658
importancia reducir emisiones,1,0.00658
reducir emisiones proteger,1,0.00658
emisiones proteger medio,1,0.00658
proteger medio ambiente,1,0.00658
medio ambiente futuras,1,0.00658
ambiente futuras generaciones,1,0.00658
futuras generaciones cambio,1,0.00658
generaciones cambio climático,1,0.00658
cambio climático producir,1,0.00658
climático producir impactos,1,0.00658
producir impactos importantes,1,0.00658
impactos importantes ecosistemas,1,0.00658
importantes ecosistemas agricultura,1,0.00658
ecosistemas agricultura recursos,1,0.00658
agricultura recursos hídricos,1,0.00658
recursos hídricos comunidades,1,0.00658
hídricos comunidades aumento,1,0.00658
comunidades aumento temperatura,1,0.00658
aumento temperatura global,1,0.00658
temperatura global intensificar,1,0.00658
global intensificar riesgos,1,0.00658
intensificar riesgos ambientales,1,0.00658
riesgos ambientales razón,1,0.00658
ambientales razón necesario,1,0.00658
razón necesario fortalecer,1,0.00658
necesario fortalecer cooperación,1,0.00658
fortalecer cooperación internacional,1,0.00658
cooperación internacional desarrollar,1,0.00658
internacional desarrollar políticas,1,0.00658
desarrollar políticas permitan,1,0.00658
políticas permitan enfrentar,1,0.00658
permitan enfrentar problema,1,0.00658
enfrentar problema emisiones,1,0.00658
problema emisiones carbono,1,0.00658
emisiones carbono gases,1,0.00658
carbono gases efecto,1,0.00658
efecto invernadero constituyen,1,0.00658
invernadero constituyen preocupación,1,0.00658
constituyen preocupación central,1,0.00658
preocupación central reducción,1,0.00658
central reducción emisiones,1,0.00658
reducción emisiones requiere,1,0.00658
emisiones requiere cambios,1,0.00658
requiere cambios sistemas,1,0.00658
cambios sistemas energía,1,0.00658
sistemas energía transporte,1,0.00658
energía transporte industria,1,0.00658
transporte industria energías,1,0.00658
industria energías renovables,1,0.00658
energías renovables contribuir,1,0.00658
renovables contribuir disminuir,1,0.00658
contribuir disminuir dependencia,1,0.00658
disminuir dependencia combustibles,1,0.00658
dependencia combustibles fósiles,1,0.00658
combustibles fósiles apoyar,1,0.00658
fósiles apoyar transición,1,0.00658
apoyar transición energética,1,0.00658
transición energética gradual,1,0.00658
energética gradual adaptación,1,0.00658
gradual adaptación necesaria,1,0.00658
adaptación necesaria efectos,1,0.00658
necesaria efectos cambio,1,0.00658
efectos cambio climático,1,0.00658
cambio climático afectan,1,0.00658
climático afectan diferentes,1,0.00658
afectan diferentes regiones,1,0.00658
diferentes regiones países,1,0.00658
regiones países fortalecer,1,0.00658
países fortalecer capacidades,1,0.00658
fortalecer capacidades responder,1,0.00658
capacidades responder sequías,1,0.00658
responder sequías inundaciones,1,0.00658
sequías inundaciones impactos,1,0.00658
inundaciones impactos mitigación,1,0.00658
impactos mitigación adaptación,1,0.00658
mitigación adaptación formar,1,0.00658
adaptación formar parte,1,0.00658
formar parte respuesta,1,0.00658
parte respuesta coordinada,1,0.00658
respuesta coordinada comunidad,1,0.00658
coordinada comunidad internacional,1,0.00658
comunidad internacional necesita,1,0.00658
internacional necesita trabajar,1,0.00658
necesita trabajar limitar,1,0.00658
trabajar limitar calentamiento,1,0.00658
limitar calentamiento global,1,0.00658
calentamiento global negociaciones,1,0.00658
global negociaciones climáticas,1,0.00658
negociaciones climáticas buscan,1,0.00658
climáticas buscan acuerdos,1,0.00658
buscan acuerdos permitan,1,0.00658
acuerdos permitan reducir,1,0.00658
permitan reducir emisiones,1,0.00658
reducir emisiones promover,1,0.00658
emisiones promover desarrollo,1,0.00658
promover desarrollo sostenible,1,0.00658
desarrollo sostenible cooperación,1,0.00658
sostenible cooperación países,1,0.00658
cooperación países fundamental,1,0.00658
países fundamental cambio,1,0.00658
fundamental cambio climático,1,0.00658
cambio climático limita,1,0.00658
climático limita fronteras,1,0.00658
limita fronteras nacionales,1,0.00658
fronteras nacionales futuro,1,0.00658
nacionales futuro depende,1,0.00658
futuro depende decisiones,1,0.00658
depende decisiones adopten,1,0.00658
decisiones adopten presente,1,0.00658
adopten presente políticas,1,0.00658
presente políticas ambientales,1,0.00658
políticas ambientales contribuir,1,0.00658
ambientales contribuir proteger,1,0.00658
contribuir proteger recursos,1,0.00658
proteger recursos naturales,1,0.00658
recursos naturales reducir,1,0.00658
naturales reducir impactos,1,0.00658
reducir impactos calentamiento,1,0.00658
impactos calentamiento global,1,0.00658
calentamiento global acción,1,0.00658
global acción internacional,1,0.00658
acción internacional combinar,1,0.00658
internacional combinar reducción,1,0.00658
combinar reducción emisiones,1,0.00658
reducción emisiones adaptación,1,0.00658
emisiones adaptación apoyo,1,0.00658
adaptación apoyo países,1,0.00658
apoyo países vulnerables,1,0.00658
