ngrama,frecuencia,frecuencia_relativa
emisiones,6,0.03896
cambio,4,0.02597
climático,4,0.02597
global,4,0.02597
países,4,0.02597
ambientales,3,0.01948
calentamiento,3,0.01948
reducir,3,0.01948
impactos,3,0.01948
internacional,3,0.01948
adaptación,3,0.01948
aumento,2,0.01299
gases,2,0.01299
efecto,2,0.01299
invernadero,2,0.01299
combustibles,2,0.01299
fósiles,2,0.01299
proteger,2,0.01299
recursos,2,0.01299
fortalecer,2,0.01299
cooperación,2,0.01299
políticas,2,0.01299
permitan,2,0.01299
reducción,2,0.01299
contribuir,2,0.01299
uno,1,0.00649
principales,1,0.00649
desafíos,1,0.00649
tiempo,1,0.00649
está,1,0.00649
relacionado,1,0.00649
actividades,1,0.00649
humanas,1,0.00649
utilizan,1,0.00649
reconocer,1,0.00649
importancia,1,0.00649
medio,1,0.00649
ambiente,1,0.00649
futuras,1,0.00649
generaciones,1,0.00649
producir,1,0.00649
importantes,1,0.00649
ecosistemas,1,0.00649
agricultura,1,0.00649
hídricos,1,0.00649
comunidades,1,0.00649
temperatura,1,0.00649
intensificar,1,0.00649
riesgos,1,0.00649
razón,1,0.00649
