ngrama,frecuencia,frecuencia_relativa
emisiones,6,0.03896
cambio,4,0.02597
climático,4,0.02597
global,4,0.02597
países,4,0.02597
ambientales,3,0.01948
calentamiento,3,0.01948
reducir,3,0.01948
impactos,3,0.01948
internacional,3,0.01948
adaptación,3,0.01948
aumento,2,0.01299
gases,2,0.01299
efecto,2,0.01299
invernadero,2,0.01299
combustibles,2,0.01299
fósiles,2,0.01299
proteger,2,0.01299
recursos,2,0.01299
fortalecer,2,0.01299
cooperación,2,0.01299
políticas,2,0.01299
permitan,2,0.01299
reducción,2,0.01299
contribuir,2,0.01299
uno,1,0.00649
principales,1,0.00649
desafíos,1,0.00649
tiempo,1,0.00649
está,1,0.00649
relacionado,1,0.00649
actividades,1,0.00649
humanas,1,0.00649
utilizan,1,0.00649
reconocer,1,0.00649
importancia,1,0.00649
medio,1,0.00649
ambiente,1,0.00649
futuras,1,0.00649
generaciones,1,0.00649
producir,1,0.00649
importantes,1,0.00649
ecosistemas,1,0.00649
agricultura,1,0.00649
hídricos,1,0.00649
comunidades,1,0.00649
temperatura,1,0.00649
intensificar,1,0.00649
riesgos,1,0.00649
razón,1,0.00649
necesario,1,0.00649
desarrollar,1,0.00649
enfrentar,1,0.00649
problema,1,0.00649
carbono,1,0.00649
constituyen,1,0.00649
preocupación,1,0.00649
central,1,0.00649
requiere,1,0.00649
cambios,1,0.00649
sistemas,1,0.00649
energía,1,0.00649
transporte,1,0.00649
industria,1,0.00649
energías,1,0.00649
renovables,1,0.00649
disminuir,1,0.00649
dependencia,1,0.00649
apoyar,1,0.00649
transición,1,0.00649
energética,1,0.00649
gradual,1,0.00649
necesaria,1,0.00649
efectos,1,0.00649
afectan,1,0.00649
diferentes,1,0.00649
regiones,1,0.00649
capacidades,1,0.00649
responder,1,0.00649
sequías,1,0.00649
inundaciones,1,0.00649
mitigación,1,0.00649
formar,1,0.00649
parte,1,0.00649
respuesta,1,0.00649
coordinada,1,0.00649
comunidad,1,0.00649
necesita,1,0.00649
trabajar,1,0.00649
limitar,1,0.00649
negociaciones,1,0.00649
climáticas,1,0.00649
buscan,1,0.00649
acuerdos,1,0.00649
promover,1,0.00649
desarrollo,1,0.00649
sostenible,1,0.00649
fundamental,1,0.00649
limita,1,0.00649
fronteras,1,0.00649
nacionales,1,0.00649
futuro,1,0.00649
depende,1,0.00649
decisiones,1,0.00649
adopten,1,0.00649
presente,1,0.00649
naturales,1,0.00649
acción,1,0.00649
combinar,1,0.00649
apoyo,1,0.00649
vulnerables,1,0.00649
