ngrama,frecuencia,frecuencia_relativa
cambio climático,3,0.01493
transición energética,3,0.01493
energías renovables,3,0.01493
acción climática,2,0.00995
calentamiento global,2,0.00995
emisiones gases,2,0.00995
gases efecto,2,0.00995
efecto invernadero,2,0.00995
climático exige,1,0.00498
exige acción,1,0.00498
climática acelerada,1,0.00498
acelerada sostenida,1,0.00498
sostenida calentamiento,1,0.00498
global está,1,0.00498
está provocando,1,0.00498
provocando impactos,1,0.00498
impactos afectan,1,0.00498
afectan comunidades,1,0.00498
comunidades ecosistemas,1,0.00498
ecosistemas economías,1,0.00498
economías sistemas,1,0.00498
sistemas alimentarios,1,0.00498
alimentarios discusión,1,0.00498
discusión actual,1,0.00498
actual concentra,1,0.00498
concentra vez,1,0.00498
vez cómo,1,0.00498
cómo reducir,1,0.00498
reducir emisiones,1,0.00498
emisiones acelerar,1,0.00498
acelerar transición,1,0.00498
energética emisiones,1,0.00498
invernadero disminuir,1,0.00498
disminuir manera,1,0.00498
manera rápida,1,0.00498
rápida sostenida,1,0.00498
sostenida descarbonización,1,0.00498
descarbonización economía,1,0.00498
economía requiere,1,0.00498
requiere transformar,1,0.00498
transformar sistemas,1,0.00498
sistemas energía,1,0.00498
energía transporte,1,0.00498
transporte industria,1,0.00498
industria construcción,1,0.00498
construcción energías,1,0.00498
renovables eficiencia,1,0.00498
eficiencia energética,1,0.00498
energética tecnologías,1,0.00498
tecnologías contribuir,1,0.00498
contribuir transformación,1,0.00498
transformación transición,1,0.00498
energética necesita,1,0.00498
necesita inversiones,1,0.00498
inversiones innovación,1,0.00498
innovación políticas,1,0.00498
políticas públicas,1,0.00498
públicas desarrollo,1,0.00498
desarrollo energías,1,0.00498
renovables generar,1,0.00498
generar nuevas,1,0.00498
nuevas oportunidades,1,0.00498
oportunidades económicas,1,0.00498
económicas reducir,1,0.00498
reducir dependencia,1,0.00498
dependencia combustibles,1,0.00498
combustibles fósiles,1,0.00498
fósiles necesario,1,0.00498
necesario mejorar,1,0.00498
mejorar redes,1,0.00498
redes eléctricas,1,0.00498
eléctricas almacenar,1,0.00498
almacenar energía,1,0.00498
energía ampliar,1,0.00498
ampliar acceso,1,0.00498
acceso tecnologías,1,0.00498
