ngrama,frecuencia,frecuencia_relativa
emisiones gases efecto,2,0.01
gases efecto invernadero,2,0.01
cambio climático exige,1,0.005
climático exige acción,1,0.005
exige acción climática,1,0.005
acción climática acelerada,1,0.005
climática acelerada sostenida,1,0.005
acelerada sostenida calentamiento,1,0.005
sostenida calentamiento global,1,0.005
calentamiento global está,1,0.005
global está provocando,1,0.005
está provocando impactos,1,0.005
provocando impactos afectan,1,0.005
impactos afectan comunidades,1,0.005
afectan comunidades ecosistemas,1,0.005
comunidades ecosistemas economías,1,0.005
ecosistemas economías sistemas,1,0.005
economías sistemas alimentarios,1,0.005
sistemas alimentarios discusión,1,0.005
alimentarios discusión actual,1,0.005
discusión actual concentra,1,0.005
actual concentra vez,1,0.005
concentra vez cómo,1,0.005
vez cómo reducir,1,0.005
cómo reducir emisiones,1,0.005
reducir emisiones acelerar,1,0.005
emisiones acelerar transición,1,0.005
acelerar transición energética,1,0.005
transición energética emisiones,1,0.005
energética emisiones gases,1,0.005
efecto invernadero disminuir,1,0.005
invernadero disminuir manera,1,0.005
disminuir manera rápida,1,0.005
manera rápida sostenida,1,0.005
rápida sostenida descarbonización,1,0.005
sostenida descarbonización economía,1,0.005
descarbonización economía requiere,1,0.005
economía requiere transformar,1,0.005
requiere transformar sistemas,1,0.005
transformar sistemas energía,1,0.005
sistemas energía transporte,1,0.005
energía transporte industria,1,0.005
transporte industria construcción,1,0.005
industria construcción energías,1,0.005
construcción energías renovables,1,0.005
energías renovables eficiencia,1,0.005
renovables eficiencia energética,1,0.005
eficiencia energética tecnologías,1,0.005
energética tecnologías contribuir,1,0.005
tecnologías contribuir transformación,1,0.005
