ngrama,frecuencia,frecuencia_relativa
emisiones gases efecto,2,0.01
gases efecto invernadero,2,0.01
cambio climático exige,1,0.005
climático exige acción,1,0.005
exige acción climática,1,0.005
acción climática acelerada,1,0.005
climática acelerada sostenida,1,0.005
acelerada sostenida calentamiento,1,0.005
sostenida calentamiento global,1,0.005
calentamiento global está,1,0.005
global está provocando,1,0.005
está provocando impactos,1,0.005
provocando impactos afectan,1,0.005
impactos afectan comunidades,1,0.005
afectan comunidades ecosistemas,1,0.005
comunidades ecosistemas economías,1,0.005
ecosistemas economías sistemas,1,0.005
economías sistemas alimentarios,1,0.005
sistemas alimentarios discusión,1,0.005
alimentarios discusión actual,1,0.005
discusión actual concentra,1,0.005
actual concentra vez,1,0.005
concentra vez cómo,1,0.005
vez cómo reducir,1,0.005
cómo reducir emisiones,1,0.005
reducir emisiones acelerar,1,0.005
emisiones acelerar transición,1,0.005
acelerar transición energética,1,0.005
transición energética emisiones,1,0.005
energética emisiones gases,1,0.005
efecto invernadero disminuir,1,0.005
invernadero disminuir manera,1,0.005
disminuir manera rápida,1,0.005
manera rápida sostenida,1,0.005
rápida sostenida descarbonización,1,0.005
sostenida descarbonización economía,1,0.005
descarbonización economía requiere,1,0.005
economía requiere transformar,1,0.005
requiere transformar sistemas,1,0.005
transformar sistemas energía,1,0.005
sistemas energía transporte,1,0.005
energía transporte industria,1,0.005
transporte industria construcción,1,0.005
industria construcción energías,1,0.005
construcción energías renovables,1,0.005
energías renovables eficiencia,1,0.005
renovables eficiencia energética,1,0.005
eficiencia energética tecnologías,1,0.005
energética tecnologías contribuir,1,0.005
tecnologías contribuir transformación,1,0.005
contribuir transformación transición,1,0.005
transformación transición energética,1,0.005
transición energética necesita,1,0.005
energética necesita inversiones,1,0.005
necesita inversiones innovación,1,0.005
inversiones innovación políticas,1,0.005
innovación políticas públicas,1,0.005
políticas públicas desarrollo,1,0.005
públicas desarrollo energías,1,0.005
desarrollo energías renovables,1,0.005
energías renovables generar,1,0.005
renovables generar nuevas,1,0.005
generar nuevas oportunidades,1,0.005
nuevas oportunidades económicas,1,0.005
oportunidades económicas reducir,1,0.005
económicas reducir dependencia,1,0.005
reducir dependencia combustibles,1,0.005
dependencia combustibles fósiles,1,0.005
combustibles fósiles necesario,1,0.005
fósiles necesario mejorar,1,0.005
necesario mejorar redes,1,0.005
mejorar redes eléctricas,1,0.005
redes eléctricas almacenar,1,0.005
eléctricas almacenar energía,1,0.005
almacenar energía ampliar,1,0.005
energía ampliar acceso,1,0.005
ampliar acceso tecnologías,1,0.005
acceso tecnologías limpias,1,0.005
tecnologías limpias adaptación,1,0.005
limpias adaptación continúa,1,0.005
adaptación continúa siendo,1,0.005
continúa siendo fundamental,1,0.005
siendo fundamental comunidades,1,0.005
fundamental comunidades enfrentan,1,0.005
comunidades enfrentan impactos,1,0.005
enfrentan impactos climáticos,1,0.005
impactos climáticos sequías,1,0.005
climáticos sequías inundaciones,1,0.005
sequías inundaciones incendios,1,0.005
inundaciones incendios olas,1,0.005
incendios olas calor,1,0.005
olas calor fenómenos,1,0.005
calor fenómenos generar,1,0.005
fenómenos generar pérdidas,1,0.005
generar pérdidas aumentar,1,0.005
pérdidas aumentar vulnerabilidad,1,0.005
aumentar vulnerabilidad medidas,1,0.005
vulnerabilidad medidas adaptación,1,0.005
medidas adaptación fortalecer,1,0.005
adaptación fortalecer infraestructura,1,0.005
fortalecer infraestructura planificación,1,0.005
infraestructura planificación capacidad,1,0.005
planificación capacidad respuesta,1,0.005
capacidad respuesta mitigación,1,0.005
respuesta mitigación busca,1,0.005
mitigación busca reducir,1,0.005
busca reducir causas,1,0.005
reducir causas cambio,1,0.005
causas cambio climático,1,0.005
cambio climático especialmente,1,0.005
climático especialmente emisiones,1,0.005
especialmente emisiones gases,1,0.005
efecto invernadero adaptación,1,0.005
invernadero adaptación busca,1,0.005
adaptación busca disminuir,1,0.005
busca disminuir daños,1,0.005
disminuir daños asociados,1,0.005
daños asociados impactos,1,0.005
asociados impactos producen,1,0.005
impactos producen evitarse,1,0.005
producen evitarse completamente,1,0.005
evitarse completamente ambas,1,0.005
completamente ambas estrategias,1,0.005
ambas estrategias necesarias,1,0.005
estrategias necesarias justicia,1,0.005
necesarias justicia climática,1,0.005
justicia climática ocupa,1,0.005
climática ocupa espacio,1,0.005
ocupa espacio importante,1,0.005
espacio importante debate,1,0.005
importante debate actual,1,0.005
debate actual países,1,0.005
actual países comunidades,1,0.005
países comunidades contribuido,1,0.005
comunidades contribuido misma,1,0.005
contribuido misma manera,1,0.005
misma manera cambio,1,0.005
manera cambio climático,1,0.005
cambio climático tampoco,1,0.005
climático tampoco tienen,1,0.005
tampoco tienen mismas,1,0.005
tienen mismas capacidades,1,0.005
mismas capacidades enfrentar,1,0.005
capacidades enfrentar consecuencias,1,0.005
enfrentar consecuencias cooperación,1,0.005
consecuencias cooperación internacional,1,0.005
cooperación internacional considerar,1,0.005
internacional considerar financiamiento,1,0.005
considerar financiamiento climático,1,0.005
financiamiento climático tecnología,1,0.005
climático tecnología apoyo,1,0.005
tecnología apoyo comunidades,1,0.005
apoyo comunidades vulnerables,1,0.005
comunidades vulnerables acción,1,0.005
vulnerables acción climática,1,0.005
acción climática está,1,0.005
climática está relacionada,1,0.005
está relacionada futuro,1,0.005
relacionada futuro generaciones,1,0.005
futuro generaciones jóvenes,1,0.005
generaciones jóvenes decisiones,1,0.005
jóvenes decisiones actuales,1,0.005
decisiones actuales determinar,1,0.005
actuales determinar calidad,1,0.005
determinar calidad vida,1,0.005
calidad vida seguridad,1,0.005
vida seguridad alimentaria,1,0.005
seguridad alimentaria acceso,1,0.005
alimentaria acceso agua,1,0.005
acceso agua condiciones,1,0.005
agua condiciones ambientales,1,0.005
condiciones ambientales próximas,1,0.005
ambientales próximas décadas,1,0.005
próximas décadas objetivo,1,0.005
