ngrama,frecuencia,frecuencia_relativa
climático,4,0.0198
comunidades,4,0.0198
reducir,4,0.0198
emisiones,4,0.0198
energética,4,0.0198
adaptación,4,0.0198
cambio,3,0.01485
climática,3,0.01485
sostenida,3,0.01485
impactos,3,0.01485
sistemas,3,0.01485
transición,3,0.01485
energías,3,0.01485
renovables,3,0.01485
acción,2,0.0099
calentamiento,2,0.0099
global,2,0.0099
está,2,0.0099
actual,2,0.0099
gases,2,0.0099
efecto,2,0.0099
invernadero,2,0.0099
disminuir,2,0.0099
manera,2,0.0099
energía,2,0.0099
tecnologías,2,0.0099
transformación,2,0.0099
necesita,2,0.0099
políticas,2,0.0099
generar,2,0.0099
acceso,2,0.0099
mitigación,2,0.0099
busca,2,0.0099
exige,1,0.00495
acelerada,1,0.00495
provocando,1,0.00495
afectan,1,0.00495
ecosistemas,1,0.00495
economías,1,0.00495
alimentarios,1,0.00495
discusión,1,0.00495
concentra,1,0.00495
vez,1,0.00495
cómo,1,0.00495
acelerar,1,0.00495
rápida,1,0.00495
descarbonización,1,0.00495
economía,1,0.00495
requiere,1,0.00495
transformar,1,0.00495
