ngrama,frecuencia,frecuencia_relativa
climático,4,0.0198
comunidades,4,0.0198
reducir,4,0.0198
emisiones,4,0.0198
energética,4,0.0198
adaptación,4,0.0198
cambio,3,0.01485
climática,3,0.01485
sostenida,3,0.01485
impactos,3,0.01485
sistemas,3,0.01485
transición,3,0.01485
energías,3,0.01485
renovables,3,0.01485
acción,2,0.0099
calentamiento,2,0.0099
global,2,0.0099
está,2,0.0099
actual,2,0.0099
gases,2,0.0099
efecto,2,0.0099
invernadero,2,0.0099
disminuir,2,0.0099
manera,2,0.0099
energía,2,0.0099
tecnologías,2,0.0099
transformación,2,0.0099
necesita,2,0.0099
políticas,2,0.0099
generar,2,0.0099
acceso,2,0.0099
mitigación,2,0.0099
busca,2,0.0099
exige,1,0.00495
acelerada,1,0.00495
provocando,1,0.00495
afectan,1,0.00495
ecosistemas,1,0.00495
economías,1,0.00495
alimentarios,1,0.00495
discusión,1,0.00495
concentra,1,0.00495
vez,1,0.00495
cómo,1,0.00495
acelerar,1,0.00495
rápida,1,0.00495
descarbonización,1,0.00495
economía,1,0.00495
requiere,1,0.00495
transformar,1,0.00495
transporte,1,0.00495
industria,1,0.00495
construcción,1,0.00495
eficiencia,1,0.00495
contribuir,1,0.00495
inversiones,1,0.00495
innovación,1,0.00495
públicas,1,0.00495
desarrollo,1,0.00495
nuevas,1,0.00495
oportunidades,1,0.00495
económicas,1,0.00495
dependencia,1,0.00495
combustibles,1,0.00495
fósiles,1,0.00495
necesario,1,0.00495
mejorar,1,0.00495
redes,1,0.00495
eléctricas,1,0.00495
almacenar,1,0.00495
ampliar,1,0.00495
limpias,1,0.00495
continúa,1,0.00495
siendo,1,0.00495
fundamental,1,0.00495
enfrentan,1,0.00495
climáticos,1,0.00495
sequías,1,0.00495
inundaciones,1,0.00495
incendios,1,0.00495
olas,1,0.00495
calor,1,0.00495
fenómenos,1,0.00495
pérdidas,1,0.00495
aumentar,1,0.00495
vulnerabilidad,1,0.00495
medidas,1,0.00495
fortalecer,1,0.00495
infraestructura,1,0.00495
planificación,1,0.00495
capacidad,1,0.00495
respuesta,1,0.00495
causas,1,0.00495
especialmente,1,0.00495
daños,1,0.00495
asociados,1,0.00495
producen,1,0.00495
evitarse,1,0.00495
completamente,1,0.00495
ambas,1,0.00495
estrategias,1,0.00495
necesarias,1,0.00495
justicia,1,0.00495
ocupa,1,0.00495
espacio,1,0.00495
importante,1,0.00495
debate,1,0.00495
países,1,0.00495
contribuido,1,0.00495
misma,1,0.00495
tampoco,1,0.00495
tienen,1,0.00495
mismas,1,0.00495
capacidades,1,0.00495
enfrentar,1,0.00495
consecuencias,1,0.00495
cooperación,1,0.00495
internacional,1,0.00495
considerar,1,0.00495
financiamiento,1,0.00495
tecnología,1,0.00495
apoyo,1,0.00495
vulnerables,1,0.00495
relacionada,1,0.00495
futuro,1,0.00495
generaciones,1,0.00495
jóvenes,1,0.00495
decisiones,1,0.00495
actuales,1,0.00495
determinar,1,0.00495
calidad,1,0.00495
vida,1,0.00495
seguridad,1,0.00495
alimentaria,1,0.00495
agua,1,0.00495
condiciones,1,0.00495
ambientales,1,0.00495
próximas,1,0.00495
décadas,1,0.00495
objetivo,1,0.00495
limitar,1,0.00495
riesgos,1,0.00495
ello,1,0.00495
económicos,1,0.00495
energéticos,1,0.00495
reducción,1,0.00495
integrarse,1,0.00495
climáticas,1,0.00495
efectivas,1,0.00495
